Name,Time,Artist,Album,Genre,Plays,Skips,Date Added,
Turn Me On,2:35,Norah Jones,Come Away with Me,Easy Listening,3,2,"3/28/20, 3:37 PM","10/12/20, 1:58 AM"
Carry On,2:51,Norah Jones,Day Breaks,Easy Listening,6,4,"3/28/20, 3:36 PM","10/12/20, 7:57 AM"
Sunrise,3:21,Norah Jones,Feels Like Home,Easy Listening,6,1,"3/28/20, 3:35 PM","11/15/20, 9:47 AM"
Warm Glow,5:59,Hippo Campus,Warm Glow - Single,Indie,3,5,"3/28/20, 3:32 PM","11/26/20, 1:08 AM"
Wither,2:34,Frank Ocean,Endless,Alternative,6,5,"3/26/20, 11:07 PM","10/16/20, 5:32 PM"
Nuthin' But A G Thang ft. Snoop Dogg,3:59,Dr. Dre,The Chronic,Rap,8,11,"1/24/20, 8:04 AM","10/25/20, 6:55 PM"
Be Alright,3:23,Surfaces,Surf,Pop,10,3,"1/18/20, 3:11 PM","10/31/20, 3:21 AM"
Take Some Time,3:22,Surfaces,Take Some Time - Single,Pop,12,3,"1/18/20, 3:11 PM","12/8/20, 2:42 PM"
Bloom,3:04,Surfaces,Bloom - Single,Pop,7,3,"1/18/20, 3:10 PM","7/19/20, 8:36 PM"
Keep It Gold,4:05,Surfaces,Keep It Gold - Single,Pop,4,2,"1/18/20, 3:10 PM","11/3/20, 1:36 PM"
Good Day,2:56,Surfaces,Good Day - Single,Pop,4,9,"1/18/20, 3:10 PM","12/10/20, 10:14 AM"
Lazy,3:02,Surfaces,Lazy - Single,Pop,7,5,"1/18/20, 3:09 PM","12/4/20, 4:34 PM"
Once A Day,2:40,Mac Miller,Circles,R&B,15,5,"1/18/20, 3:09 PM","10/25/20, 3:50 AM"
Surf,5:31,Mac Miller,Circles,R&B,49,13,"1/18/20, 3:08 PM","12/1/20, 10:01 PM"
Hands,3:20,Mac Miller,Circles,R&B,12,9,"1/18/20, 3:07 PM","10/23/20, 11:16 PM"
That's On Me,3:38,Mac Miller,Circles,R&B,12,10,"1/18/20, 3:07 PM","11/30/20, 10:48 PM"
Hand Me Downs,4:59,Mac Miller,Circles,R&B,54,5,"1/18/20, 3:07 PM","12/16/20, 12:47 AM"
Woods,4:47,Mac Miller,Circles,R&B,11,4,"1/18/20, 3:06 PM","11/16/20, 9:41 PM"
Everybody,4:17,Mac Miller,Circles,R&B,10,11,"1/18/20, 3:06 PM","10/25/20, 4:05 AM"
Complicated,3:52,Mac Miller,Circles,R&B,22,4,"1/18/20, 3:06 PM","11/11/20, 6:55 PM"
Circles,2:51,Mac Miller,Circles,R&B,15,13,"1/18/20, 3:05 PM","10/25/20, 4:08 AM"
99,3:18,Barns Courtney,404,Indie,3,6,"1/18/20, 3:05 PM","9/23/20, 8:04 PM"
Lover ft. Shawn Mendes,3:41,Taylor Swift,Lover (Remix) [Feat. Shawn Mendes] - Single,Pop,12,4,"1/18/20, 3:05 PM","9/22/20, 2:45 PM"
Real Love (Hip-Hop Club Mix),4:41,Mary J. Blige,Real Love - EP,Old School,2,5,"1/18/20, 3:04 PM","12/16/20, 2:11 PM"
Sparks,3:47,Coldplay,Parachutes,Easy Listening,4,4,"1/18/20, 3:04 PM","9/5/20, 11:01 AM"
Stay,3:25,Post Malone,beerbongs & bentleys,Alternative,7,3,"1/18/20, 3:03 PM","11/8/20, 12:01 PM"
Circles,3:35,Post Malone,Hollywood's Bleeding,Pop,21,6,"1/18/20, 3:02 PM","11/4/20, 12:31 AM"
I'll Make Love To You,3:57,Boyz II Men,II (With Bonus Videos),R&B,9,3,"1/18/20, 2:59 PM","10/12/20, 3:48 AM"
LOVE. FT. ZACARI,3:33,Kendrick Lamar,Damn.,Hip Hop/Rap,23,10,"1/18/20, 2:59 PM","12/16/20, 10:24 AM"
Worth It,3:23,Moses Sumney,Worth It -Single,Indie,6,3,"1/18/20, 2:57 PM","11/29/20, 4:54 PM"
Polly,3:39,Moses Sumney,Me in 20 Years,Indie,4,3,"1/18/20, 2:55 PM","10/10/20, 5:54 PM"
Good News,5:42,Mac Miller,Circles,R&B,17,8,"1/18/20, 2:54 PM","11/1/20, 9:41 AM"
The Less I Know The Better,3:36,Tame Impala,Currents,Alternative,47,9,"1/18/20, 2:54 PM","12/15/20, 7:30 PM"
Heaven Falls / Fall on Me,4:01,Surfaces,Heaven Falls / Fall on Me - Single,Pop,6,4,"1/18/20, 2:54 PM","11/27/20, 4:51 PM"
Love Vigilantes,3:27,Iron & Wine,Around the Well (Bonus Track Version),Folk,4,6,"1/18/20, 2:52 PM","10/6/20, 10:22 AM"
Each Coming Night,3:29,Iron & Wine,Our Endless Numbered Days,Folk,4,6,"1/18/20, 2:51 PM","9/26/20, 9:25 AM"
Our Light Miles,3:16,Iron & Wine,Beast Epic,Folk,7,3,"1/18/20, 2:49 PM","9/25/20, 11:15 PM"
Call It Dreaming,3:52,Iron & Wine,Beast Epic,Folk,3,3,"1/18/20, 2:49 PM","12/6/20, 8:01 PM"
Summer Clouds,3:37,Iron & Wine,Beast Epic,Folk,7,3,"1/18/20, 2:48 PM","8/18/20, 9:55 AM"
Claim Your Ghost,2:31,Iron & Wine,Beast Epic,Folk,8,6,"1/18/20, 2:45 PM","12/15/20, 10:52 AM"
My Mind Is For Sale,3:59,Jack Johnson,All The Light Above It Too,Folk,2,11,"1/18/20, 2:44 PM","9/26/20, 8:08 AM"
Homegirl ft. Smino & Topaz Jones,4:46,Leven Kali,Homegirl (feat. Smino & Topaz Jones) - Single,R&B,4,3,"12/24/19, 5:35 PM","10/10/20, 4:59 PM"
Do U Wrong ft. Syd,4:41,Leven Kali,Low Tide,R&B,4,6,"12/24/19, 5:35 PM","10/31/20, 2:10 AM"
Seventeen,3:27,Summer Salt,Happy Camper,Indie,7,9,"12/24/19, 5:34 PM","9/16/20, 11:53 AM"
Candy Wrappers,3:13,Summer Salt,Happy Camper,Indie,6,6,"12/20/19, 1:45 AM","11/4/20, 2:23 PM"
"So Fresh, So Clean",4:00,OutKast,Stankonia,Rap,2,3,"12/20/19, 1:45 AM","8/20/20, 3:03 PM"
Feeling Whitney,4:17,Post Malone,Stoney (Deluxe),Alternative,28,5,"12/20/19, 1:43 AM","11/1/20, 9:39 PM"
Westcoast Collective,1:49,Dominic Fike,"Don't Forget About Me, Demos - EP",Alternative,7,4,"12/20/19, 1:43 AM","10/17/20, 2:12 PM"
Rollerblades,2:16,Dominic Fike,Rollerblades - Single,Alternative,38,4,"12/20/19, 1:42 AM","12/6/20, 8:10 PM"
King Of Everything,3:16,Dominic Fike,"Don't Forget About Me, Demos - EP",Alternative,17,7,"12/20/19, 1:42 AM","12/15/20, 12:46 AM"
Açaí Bowl,2:59,Dominic Fike,Açaí Bowl - Single,Alternative,15,4,"12/20/19, 1:41 AM","10/17/20, 6:25 PM"
Phone Numbers,2:27,Dominic Fike,Phone Numbers - Single,Alternative,16,4,"12/20/19, 1:40 AM","9/18/20, 7:28 AM"
3 Nights,2:59,Dominic Fike,"Don't Forget About Me, Demos - EP",Alternative,32,3,"12/20/19, 1:40 AM","12/17/20, 10:01 AM"
Sandals,2:41,khai dreams,Now and Then,Indie,6,7,"12/20/19, 1:22 AM","6/7/20, 10:54 AM"
Sunkissed,2:07,khai dreams,Now and Then,Indie,8,3,"12/20/19, 1:20 AM","11/24/20, 11:49 AM"
Ms. Fat Booty,3:46,Mos Def,Black on Both Sides,Rap,5,3,"12/20/19, 1:17 AM","10/12/20, 6:55 AM"
The Kids Aren't Alright,3:02,The Offspring,Americana,Rock,3,6,"12/11/19, 7:19 PM","5/18/20, 5:33 PM"
Lush,5:24,Choker,Peak,Alternative,43,6,"12/11/19, 7:15 PM","12/15/20, 7:06 PM"
Petrol Bliss,3:10,Choker,Mono No Moto - Single,Alternative,34,9,"12/11/19, 7:13 PM","12/6/20, 8:04 PM"
Lucky,4:11,Choker,Forever & a Few - Single,Alternative,29,8,"12/11/19, 7:12 PM","10/31/20, 2:41 AM"
My Mind Playin Tricks on Me,5:12,Geto Boys,We Can't Be Stopped,Rap,6,3,"12/5/19, 1:36 PM","9/29/20, 5:55 PM"
Perfect,4:23,Ed Sheeran,÷,Pop,9,6,"12/5/19, 1:33 PM","12/12/20, 3:14 PM"
Time Alone With You ft. Daniel Caesar,4:16,Jacob Collier,Time Alone With You (feat. Daniel Caesar) - Single,R&B,8,2,"12/5/19, 1:31 PM","10/3/20, 4:31 PM"
"No Diggity ft. Dr. Dre, Queen Pen",4:32,Blackstreet,Another Level,Hip Hop/Rap,5,7,"12/5/19, 1:24 PM","11/20/20, 4:21 PM"
Can't Take My Eyes Off Of You,3:44,Lauryn Hill,The Miseducation of Lauryn Hill,R&B,20,4,"12/5/19, 1:24 PM","11/19/20, 5:43 PM"
What You Did ft. Ella Mai,3:27,Mahalia,Love and Compromise,R&B,78,2,"12/5/19, 1:23 PM","10/12/20, 1:18 PM"
Violet,2:24,Daniel Caesar,Violet - Single,Alternative,4,4,"12/5/19, 1:18 PM","10/12/20, 6:51 AM"
Birds Of Paradise,3:09,Daniel Caesar,Singles,Alternative,7,6,"12/5/19, 1:15 PM","11/3/20, 12:28 PM"
Medulla Oblongata,5:41,Daniel Caesar,Singles,Alternative,1,8,"12/5/19, 1:09 PM","1/31/20, 4:22 PM"
Jealous Guy,4:16,Daniel Caesar,Singles,Alternative,18,3,"11/30/19, 8:05 PM","10/31/20, 5:16 PM"
Pineapple Skies,4:43,Miguel,War & Leisure,R&B,7,5,"11/15/19, 11:15 AM","8/15/20, 3:18 PM"
Easy Living,3:01,Billie Holiday,Billie Holiday's Greatest Hits,Jazz,5,6,"11/15/19, 11:12 AM","12/8/20, 10:45 AM"
A Little Bit Of Rain,2:25,Fred Neil,Bleecker and McDougal,Easy Listening,19,8,"11/14/19, 5:30 PM","12/4/20, 5:44 PM"
Unholy Faces,2:55,Florist,Holdly - EP,Folk,13,5,"11/14/19, 5:29 PM","9/26/20, 8:04 AM"
Then You Can Tell Me Goodbye,3:46,Bettye Swann,Bettye Swann,Oldie,21,7,"11/14/19, 5:26 PM","11/19/20, 6:01 PM"
Chum,2:55,Earl Sweatshirt,Doris,Rap,2,5,"11/14/19, 3:38 PM","10/11/20, 7:10 PM"
Shattered Dreams,2:23,Earl Sweatshirt,Some Rap Songs,Rap,9,2,"11/14/19, 3:38 PM","10/12/20, 6:34 AM"
What You Want,3:12,Danny Dwyer,What You Want - Single,R&B,27,4,"11/14/19, 3:37 PM","12/13/20, 4:18 PM"
Hit Me Up,2:40,"Omar Apollo, Dominic Fike & Kenny Beats",Hit Me Up - Single,Alternative,7,6,"11/14/19, 3:36 PM","11/13/20, 12:55 PM"
hostage,3:50,Billie Eilish,dont smile at me,Indie,4,4,"11/14/19, 3:35 PM","9/20/20, 9:39 PM"
In My Room,2:14,Frank Ocean,In My Room - Single,R&B,11,5,"11/14/19, 3:35 PM","11/16/20, 5:51 PM"
Dissolve,3:45,Absofacto,Thousand Peaces - EP,Alternative,9,5,"11/14/19, 3:34 PM","12/10/20, 3:24 PM"
I'll Be Seeing You,3:32,Billie Holiday,Billie Holiday,Jazz,8,3,"11/14/19, 3:34 PM","1/8/21, 11:41 PM"
End of The World,2:48,Julie London,The Very Best of Julie London,Jazz,5,5,"11/14/19, 3:33 PM","12/5/20, 7:00 PM"
Laughing on the Outside,2:21,Bernadette Carroll,Cleopatra Girls,Oldie,7,14,"11/14/19, 3:32 PM","12/11/20, 9:30 PM"
New Light,3:37,John Mayer,New Light - Single,Pop,13,1,"10/26/19, 12:17 AM","8/21/20, 4:25 PM"
DHL,4:29,Frank Ocean,DHL - Single,R&B,26,5,"10/25/19, 8:53 PM","11/18/20, 6:14 PM"
Lens,3:48,Frank Ocean,Lens - Single,Alternative,13,6,"10/25/19, 8:51 PM","12/12/20, 4:53 PM"
Always,3:18,Rex Orange County,Pony,Alternative,14,9,"10/25/19, 8:44 PM","10/27/20, 6:44 PM"
These Words,3:42,Natasha Bedingfield,Unwritten,Pop,32,6,"10/18/19, 11:14 PM","1/6/21, 12:44 PM"
Time After Time,2:50,Iron & Wine,Time After Time - SIngle,Easy Listening,22,10,"10/18/19, 11:31 AM","12/4/20, 10:47 AM"
Suga Suga,3:59,Baby Bash,Suga Suga - EP,R&B,8,8,"10/18/19, 11:26 AM","10/3/20, 8:11 PM"
Pluto Projector,4:28,Rex Orange County,Pony,Indie,40,4,"10/18/19, 11:25 AM","12/12/20, 8:13 PM"
this girl,2:15,Elijah Who,Gentle Boy,Lofi,14,8,"10/18/19, 11:24 AM","10/27/20, 3:21 PM"
Violence,3:23,Dijon,Violence) - Single,R&B,25,2,"10/18/19, 11:21 AM","10/17/20, 2:10 PM"
Drunk,3:12,Dijon,Sci Fi 1 - EP,R&B,24,7,"10/18/19, 11:20 AM","11/16/20, 5:36 PM"
Nico's Red Truck,3:44,Dijon,Nico's Red Truck - Single,R&B,26,3,"10/18/19, 11:20 AM","11/27/20, 11:37 PM"
homebody,2:38,Marcos G.,homebody - Single,R&B,12,4,"10/18/19, 11:19 AM","10/31/20, 3:17 AM"
Gravity,4:06,John Mayer,Continuum,R&B,7,2,"10/18/19, 11:14 AM","11/22/20, 2:22 AM"
Slow Dancing in a Burning Room,4:02,John Mayer,Continuum,Easy Listening,7,5,"10/18/19, 11:14 AM","11/10/20, 5:38 PM"
Real Friends,4:12,Kanye West,The Life Of Pablo,Hip Hop/Rap,2,6,"10/18/19, 11:14 AM","2/15/20, 10:41 PM"
Diane Young,2:40,Vampire Weekend,Modern Vampires of the City,Indie,18,6,"10/18/19, 11:12 AM","11/26/20, 1:32 AM"
Unbelievers,3:23,Vampire Weekend,Modern Vampires of the City,Indie,8,7,"10/18/19, 11:11 AM","11/26/20, 12:29 AM"
Unbearably White,4:40,Vampire Weekend,Father of the Bride,Indie,6,9,"10/18/19, 11:10 AM","9/21/20, 12:42 PM"
Step,4:13,Vampire Weekend,Modern Vampires of the City,Indie,18,3,"10/18/19, 11:10 AM","11/28/20, 5:59 PM"
This Life,4:29,Vampire Weekend,Father of the Bride,Indie,11,5,"10/18/19, 11:09 AM","11/26/20, 12:56 AM"
Chanel,3:30,Frank Ocean,Chanel - Single,Alternative,20,11,"10/18/19, 11:08 AM","12/8/20, 5:34 PM"
WASTE,2:35,BROCKHAMPTON,SATURATION,Alternative,13,2,"10/18/19, 11:07 AM","10/18/20, 4:02 PM"
SUMMER,3:25,BROCKHAMPTON,SATURATION II,Alternative,2,9,"10/18/19, 11:06 AM","11/3/20, 4:11 PM"
One Mo'Gin,6:13,D'Angelo,Voodoo,R&B,4,6,"10/18/19, 11:04 AM","10/31/20, 3:29 AM"
SUGAR,3:25,BROCKHAMPTON,GINGER,Alternative,17,6,"10/18/19, 11:04 AM","11/13/20, 7:00 PM"
When We Get By,5:45,D'Angelo,Brown Sugar,R&B,3,10,"10/18/19, 11:02 AM","10/27/20, 7:15 PM"
Send It On,5:57,D'Angelo,Voodoo,R&B,4,4,"10/18/19, 11:01 AM","10/31/20, 8:18 AM"
Nothing Even Matters ft. D'Angelo,5:51,Lauryn Hill,The Miseducation of Lauryn Hill,R&B,9,6,"10/18/19, 11:00 AM","10/31/20, 7:40 PM"
Skin,3:51,Dijon,Skin - Single,Alternative,9,9,"10/18/19, 10:59 AM","10/31/20, 10:24 AM"
Take Me to the Light ft. Bon Iver and Kanye West,4:13,Francis and the Lights,Take Me to the Light (feat. Bon Iver and Kanye West) - Single,Pop,8,3,"9/29/19, 9:15 PM","8/26/20, 6:34 PM"
Nothing,2:43,Bruno Major,Nothing - Single,Easy Listening,6,9,"9/29/19, 9:12 PM","9/20/20, 9:35 PM"
About Today,4:12,The National,Cherry Tree - EP,Indie,14,8,"9/29/19, 9:10 PM","9/6/20, 1:44 PM"
I Just Called To Say I Love You,4:25,Stevie Wonder,The Definitive Collection,Pop,11,2,"9/29/19, 9:08 PM","11/18/20, 5:56 PM"
Palace,3:09,Sam Smith,The Thrill of It All (Special Edition),Easy Listening,16,5,"9/29/19, 9:05 PM","11/13/20, 6:11 PM"
More Than Words,5:34,Extreme,Extreme II: Pornograffitti (Deluxe),Easy Listening,19,4,"9/29/19, 9:04 PM","11/17/20, 10:27 PM"
Married Life,4:11,Michael Giacchino,Up (Soundtrack from the Motion Picture),Instrumental,15,5,"9/29/19, 9:01 PM","11/14/20, 7:18 PM"
The Way You Look Tonight,3:19,Tony Bennett,My Best Friend's Wedding (Music from the Motion Picture),Jazz,7,4,"9/29/19, 9:01 PM","12/2/20, 6:11 PM"
La Vie En Rose,3:25,Louis Armstrong and His Orchestra,All Time Greatest Hits,Jazz,17,9,"9/29/19, 9:01 PM","10/23/20, 4:54 PM"
Jocelyn Flores,2:00,XXXTENTACION,17,Hip Hop/Rap,10,5,"9/29/19, 9:01 PM","11/4/20, 1:52 PM"
Last Nite,3:14,The Strokes,Is This It,Rock,12,2,"8/26/19, 11:35 AM","10/5/20, 3:29 PM"
Pursuit Of Happiness (Nightmare),4:55,Kid Cudi,Man On the Moon: The End Of Day,Hip Hop/Rap,20,5,"8/26/19, 11:32 AM","11/11/20, 2:53 PM"
Day 'N' Nite,3:41,Kid Cudi,Man On the Moon: The End Of Day,Hip Hop/Rap,4,8,"8/26/19, 11:31 AM","10/12/20, 5:36 AM"
Erase Me (Main),3:12,Kid Cudi,"Man On the Moon, Vol. II: The Legend of Mr. Rager (Deluxe Version)",Hip Hop/Rap,6,10,"8/26/19, 11:31 AM","11/2/20, 9:16 AM"
Beautiful,3:59,Christina Aguilera,Stripped,Easy Listening,7,5,"8/26/19, 11:27 AM","10/25/20, 2:58 AM"
Fly Me To The Moon,2:28,Frank Sinatra,Nothing But the Best (Remastered),Oldie,3,6,"8/26/19, 11:27 AM","11/24/20, 11:36 PM"
Live Forever,4:29,Drew Holcomb & The Neighbors,Chasing Someday,Easy Listening,19,6,"8/26/19, 11:25 AM","11/26/20, 2:27 AM"
Simple As...,2:31,Kid Cudi,Man On the Moon: The End Of Day,Hip Hop/Rap,9,6,"8/26/19, 11:21 AM","10/5/20, 5:01 PM"
Make Her Say ft. Kanye West,3:37,Kid Cudi,Man On the Moon: The End Of Day,Hip Hop/Rap,15,6,"8/26/19, 11:20 AM","11/18/20, 5:28 PM"
18,4:09,One Direction,FOUR (The Ultimate Edition),Easy Listening,8,7,"8/26/19, 11:18 AM","11/26/20, 2:01 AM"
Health Food,4:08,Berhana,Health Food - Single,R&B,9,8,"8/26/19, 11:17 AM","12/16/20, 2:55 PM"
Every Kind Of Way,2:40,H.E.R.,H.E.R.,R&B,10,4,"8/25/19, 11:51 PM","10/31/20, 12:31 AM"
Honest,3:22,Jay Wile,Blue Patio,Alternative,15,7,"8/25/19, 11:51 PM","12/15/20, 3:46 PM"
Numb,3:41,Jay Wile,Blue Patio,Alternative,25,8,"8/25/19, 11:50 PM","8/15/20, 9:07 PM"
Untitled (How Does It Feel),4:20,D'Angelo,Voodoo,R&B,23,5,"8/25/19, 11:50 PM","11/9/20, 4:58 PM"
Skinny Love,3:59,Bon Iver,"For Emma, Forever Ago",Folk,20,2,"8/25/19, 11:49 PM","11/5/20, 5:54 PM"
selfish,3:20,Jeremy Zucker,"summer, - EP",Pop,10,9,"8/25/19, 11:48 PM","12/8/20, 5:31 PM"
Seigfried,5:35,Frank Ocean,Blonde,R&B,31,10,"8/13/19, 9:23 AM","10/13/20, 12:29 AM"
Live Forever,2:33,Bazzi,Soul Searching,Pop,11,9,"8/10/19, 1:39 PM","12/3/20, 9:56 AM"
Focus ft. 21 Savage,2:35,Bazzi,Soul Searching,Pop,11,9,"8/10/19, 1:37 PM","8/5/20, 10:04 PM"
Best Day Ever,2:39,Mac Miller,Best Day Ever,Hip Hop/Rap,11,7,"8/5/19, 7:42 PM","11/1/20, 11:15 AM"
My Favorite Part ft. Ariana Grande,3:36,Mac Miller,The Divine Feminine,Hip Hop/Rap,29,6,"8/5/19, 7:42 PM","12/12/20, 6:28 PM"
So It Goes,5:13,Mac Miller,Swimming,Hip Hop/Rap,7,3,"8/5/19, 7:40 PM","9/12/20, 6:50 PM"
Look At Me Now ft. Lil Wayne & Busta Rhymes,3:44,Chris Brown,F.A.M.E. (Expanded Edition),Hip Hop/Rap,2,4,"8/5/19, 7:40 PM","10/7/20, 8:04 PM"
2009,5:48,Mac Miller,Swimming,Hip Hop/Rap,5,8,"8/5/19, 7:39 PM","10/25/20, 2:45 AM"
Jet Fuel,5:45,Mac Miller,Swimming,Hip Hop/Rap,8,8,"8/5/19, 7:38 PM","9/12/20, 6:08 PM"
Dunno,3:57,Mac Miller,Swimming,Hip Hop/Rap,11,12,"8/5/19, 7:38 PM","10/31/20, 3:42 AM"
Small Worlds,4:32,Mac Miller,Swimming,Hip Hop/Rap,8,6,"8/5/19, 7:37 PM","10/31/20, 4:41 PM"
Ladders,4:47,Mac Miller,Swimming,Hip Hop/Rap,8,6,"8/5/19, 7:36 PM","10/12/20, 4:38 AM"
What's the Use?,4:49,Mac Miller,Swimming,Hip Hop/Rap,7,3,"8/5/19, 7:35 PM","9/29/20, 5:24 PM"
Come Back to Earth,2:42,Mac Miller,Swimming,Hip Hop/Rap,10,6,"8/5/19, 7:33 PM","11/4/20, 4:58 PM"
Delilah,3:08,Aeris Roves,Delilah - Single,Alternative,35,3,"8/5/19, 7:32 PM","11/15/20, 12:51 PM"
Killer,2:53,Kali Uchis,Isolation,R&B,13,5,"8/5/19, 7:31 PM","10/24/20, 8:16 PM"
Flight 22,3:37,Kali Uchis,Isolation,R&B,13,5,"8/5/19, 7:30 PM","9/21/20, 10:47 PM"
Time,3:31,"Free Nationals, Mac Miller & Kali Uchis",Time - Single,R&B,7,7,"8/5/19, 7:29 PM","10/29/20, 7:47 PM"
"After The Storm ft. Tyler, The Creator",3:28,Kali Uchis,Isolation,R&B,22,5,"8/5/19, 7:28 PM","11/11/20, 5:25 PM"
Softly,3:05,Clairo,Immunity,Alternative,10,6,"8/5/19, 7:28 PM","10/27/20, 6:32 PM"
Imported,4:16,Jessie Reyez & 6LACK,Imported - Single,R&B,12,6,"8/5/19, 7:27 PM","10/11/20, 5:25 PM"
I Will Always Love You,4:31,Whitney Houston,Whitney: The Greatest Hits,Easy Listening,10,5,"8/5/19, 7:23 PM","11/28/20, 8:57 AM"
Lucky Love,4:47,Michael Seyer,Lucky Love - Single,Alternative,10,5,"7/28/19, 2:15 PM","10/31/20, 4:01 AM"
Lover Is a Day,7:36,Cuco,Wannabewithu,Alternative,13,8,"7/28/19, 2:14 PM","10/31/20, 1:05 AM"
In a Mood,4:08,TheSecondSex,In a Mood - Single,Alternative,14,9,"7/28/19, 2:10 PM","10/31/20, 1:09 AM"
Cuz You're My Girl,4:07,Yung Heazy,Cuz You're My Girl - Single,Alternative,15,10,"7/28/19, 2:10 PM","10/28/20, 5:46 PM"
RNP ft. Anderson .Paak,2:56,YBN Cordae,The Lost Boy,Hip Hop/Rap,8,5,"7/28/19, 2:08 PM","10/21/20, 7:17 PM"
Ballin Flossin,2:50,Chance the Rapper,The Big Day,Hip Hop/Rap,7,10,"7/28/19, 2:06 PM","8/26/20, 9:15 PM"
Hot Shower,3:46,Chance the Rapper,The Big Day,Hip Hop/Rap,9,2,"7/28/19, 2:06 PM","10/17/20, 1:08 PM"
Do You Remember,3:57,Chance the Rapper,The Big Day,Hip Hop/Rap,12,2,"7/28/19, 2:05 PM","10/25/20, 2:54 AM"
Favorite Song ft. Childish Gambino,3:05,Chance the Rapper,Acid Rap,Hip Hop/Rap,15,6,"7/28/19, 2:04 PM","12/5/20, 6:35 PM"
Under The Bridge,4:22,Red Hot Chili Peppers,Greatest Hits,Rock,45,5,"7/28/19, 2:02 PM","1/8/21, 11:18 PM"
Safe and Sound,3:11,Capital Cities,In a Tidal Wave of Mystery (Deluxe Edition),Pop,21,8,"7/23/19, 10:38 PM","1/8/21, 11:49 PM"
Empty,3:14,Kevin Abstract,American Boyfriend: A Suburban Love Story,Alternative,15,14,"7/21/19, 12:38 AM","10/18/20, 7:04 PM"
Fade,3:14,Kanye West,The Life Of Pablo,Hip Hop/Rap,9,5,"7/20/19, 6:36 PM","10/12/20, 7:42 AM"
Peach,2:57,Kevin Abstract,ARIZONA BABY,Alternative,53,7,"7/20/19, 6:03 PM","12/16/20, 3:42 PM"
Silicon Valley,4:05,Anderson .Paak,Malibu,R&B,3,9,"7/20/19, 5:52 PM","7/19/20, 2:42 PM"
I.F.L.Y.,2:46,Bazzi,I.F.L.Y. - Single,Pop,44,3,"7/20/19, 5:50 PM","11/13/20, 7:28 PM"
Anywhere ft. Snoop Dogg,3:47,Anderson .Paak,Oxnard,R&B,9,5,"7/20/19, 5:46 PM","2/11/20, 10:02 PM"
Thinking out Loud,4:42,Ed Sheeran,x,Pop,9,8,"7/20/19, 5:38 PM","9/24/20, 11:10 AM"
Jet Black ft. Brandy,3:28,Anderson .Paak,Ventura,R&B,8,5,"7/20/19, 5:16 PM","10/27/20, 5:32 PM"
Make It Better ft. Smokey Robinson,3:39,Anderson .Paak,Ventura,R&B,15,8,"7/20/19, 5:05 PM","10/17/20, 6:41 PM"
All Mine,2:27,Kanye West,Ye,Hip Hop/Rap,11,7,"7/20/19, 4:58 PM","11/2/20, 11:17 AM"
Wouldn't Leave,3:26,Kanye West,Ye,Hip Hop/Rap,11,5,"7/20/19, 4:57 PM","11/19/20, 10:10 AM"
I Thought About Killing You,4:34,Kanye West,Ye,Hip Hop/Rap,8,10,"7/20/19, 4:56 PM","8/28/20, 4:36 PM"
No More Parties In LA,6:15,Kanye West,The Life Of Pablo,Hip Hop/Rap,3,5,"7/20/19, 4:54 PM","12/31/19, 11:34 PM"
Waves,3:02,Kanye West,The Life Of Pablo,Hip Hop/Rap,10,10,"7/20/19, 4:53 PM","11/7/20, 6:13 PM"
I'll Be There,3:58,Jackson 5,The Ultimate Collection,Pop,15,9,"7/20/19, 4:49 PM","11/3/20, 4:25 PM"
Provider,4:03,Frank Ocean,Provider - Single,R&B,17,7,"7/20/19, 4:48 PM","11/3/20, 3:49 PM"
Devil In A New Dress ft. Rick Ross,5:52,Kanye West,My Beautiful Dark Twisted Fantasy,Hip Hop/Rap,18,7,"7/20/19, 4:48 PM","11/13/20, 8:43 PM"
Good Days,2:28,Madison Dawn,Good Days - Single,Indie,23,3,"7/20/19, 4:45 PM","10/31/20, 1:54 AM"
A Soulmate Who Wasn't Meant to Be,5:17,Jessica Benko,The Worst Taste,Easy Listening,8,11,"7/16/19, 8:36 PM","10/25/20, 2:34 AM"
Good Guy,2:36,Frank Ocean,Blonde,R&B,68,18,"7/16/19, 8:10 PM","12/9/20, 6:42 PM"
Should I Stay or Should I Go,3:10,The Clash,Combat Rock,Rock,8,6,"7/7/19, 6:41 PM","11/15/20, 11:33 AM"
Don't Check On Me ft. Justin Bieber & Ink,3:27,Chris Brown,Indigo,R&B,22,12,"7/6/19, 11:59 PM","11/3/20, 5:27 PM"
Sir Duke,3:53,Stevie Wonder,Songs In The Key Of Life,Pop,20,5,"7/6/19, 11:56 PM","12/16/20, 3:56 PM"
You Send Me,2:45,Sam Cooke,The Man Who Invented Soul,Oldie,19,1,"7/6/19, 11:55 PM","10/3/20, 5:48 PM"
Landslide,3:20,Fleetwood Mac,Fleetwood Mac (Deluxe),Easy Listening,17,7,"7/6/19, 11:55 PM","11/13/20, 11:45 AM"
Midnight Train to Georgia,4:40,Gladys Knight & The Pips,Platinum & Gold Collection,Disco,23,5,"7/6/19, 11:54 PM","11/23/20, 9:37 AM"
A Song for You,5:27,Donny Hathaway,Donny Hathaway,Easy Listening,24,6,"7/6/19, 11:53 PM","12/12/20, 6:04 PM"
Sara Smile,3:07,Daryl Hall & John Oates,The Very Best of Daryl Hall & John Oates (Remastered),Rock,10,11,"7/6/19, 11:52 PM","12/5/20, 7:08 PM"
